Nils Gustaf Dalén	award	Nobel Prize in Physics
Electronic Arts	subsidiary	Westwood Studios
John F. Kennedy	deathPlace	Dallas
Shmuel Yosef Agnon	award	Nobel Prize in Literature
The Right Stuff (film)	starring	Harry Shearer
Avril Lavigne	birthPlace	Belleville, Ontario
Poppy Montgomery	spouse	Adam Kaufman
Yasunari Kawabata	award	Nobel Prize in Literature
A Hard Day's Night (film)	starring	Wilfrid Brambell
Martin Scorsese	birthPlace	Queens
Angela Carter	author	The Passion of New Eve
Herbert A. Hauptman	award	Nobel Prize in Chemistry
Oracle Corporation	subsidiary	Sunopsis
Love Actually	starring	Martine McCutcheon
Stevie Wonder	birthPlace	Saginaw, Michigan
Antoine Henri Becquerel	award	Nobel Prize in Physics
Edward Scissorhands	starring	Dianne Wiest
Ali Landry	spouse	Mario López
Verner von Heidenstam	award	Nobel Prize in Literature
Amy Spanger	spouse	Michael C. Hall
Halldór Laxness	award	Nobel Prize in Literature
William Gibson	author	Neuromancer
Mad Max	starring	Tim Burns
Stephen King	author	Carrie
Rodman Philbrick	author	The Last Book in the Universe
Arno Allan Penzias	award	Nobel Prize in Physics
Chris Kaman	team	Dallas Mavericks
Seven (film)	starring	Brad Pitt
Walter M. Miller, Jr.	author	A Canticle for Leibowitz
Patricio Borghetti	spouse	Grettell Valdéz
David Brin	author	The Postman
Monta Ellis	team	Golden State Warriors
Tunku Abdul Rahman	office	Malaysia
Garth Nix	author	Castle
Nazr Mohammed	team	Oklahoma City Thunder
Abdul-Wahab Mirjan	office	Iraq
Kurt Vonnegut	author	Slaughterhouse-Five
Shaun Livingston	team	Oklahoma City Thunder
Jo Cals	office	Netherlands
Michael Shea	author	Polyphemus
Rasheed Wallace	team	Atlanta Hawks
José Manuel Barroso	office	Portugal
Bloombase	foundationPlace	Shenzhen
Kalevi Sorsa	office	Finland
Salesforce.com	foundationPlace	California
Kwame Brown	team	Detroit Pistons
Jean Chrétien	office	Canada
José Ramos-Horta	office	East Timor
Anthony Quinn	deathPlace	Boston
Dileita Mohamed Dileita	office	Djibouti
Valve Corporation	foundationPlace	Kirkland
Delrina	foundationPlace	Toronto
Josip Broz Tito	deathPlace	Ljubljana
Nemetschek	foundationPlace	Munich
Emmylou Harris	birthPlace	Birmingham, Alabama
Menachem Begin	office	Israel
Chris Benoit	deathPlace	Fayetteville, Georgia
Arthur Conan Doyle	birthPlace	Edinburgh
Picnik	foundationPlace	Seattle
Hank Williams	deathPlace	Oak Hill, West Virginia
Brian Wilson	birthPlace	Inglewood, California
Oracle Corporation	subsidiary	Hyperion Solutions
William McKinley	deathPlace	Buffalo, New York
John Lennon	birthPlace	Liverpool
Ed Wood (film)	starring	Jeffrey Jones
David Lloyd George	birthPlace	Manchester
William Butler Yeats	award	Nobel Prize in Literature
Last Action Hero	starring	Tom Noonan
Ghostbusters II	starring	Ernie Hudson
George Bernard Shaw	birthPlace	Dublin
William Faulkner	award	Nobel Prize in Literature
Hugo Chávez	deathPlace	Caracas
2012 (film)	starring	Oliver Platt
Dr. Dre	birthPlace	Compton, California
Bing Crosby	birthPlace	Tacoma, Washington
Intergovernmental Panel on Climate Change	award	Nobel Peace Prize
The Walt Disney Company	subsidiary	Fox Kids
Kill Bill	starring	Daryl Hannah
François Mauriac	award	Nobel Prize in Literature
Superbad (film)	starring	Jonah Hill
Ricky Groves	spouse	Hannah Waterman
Juan Ramón Jiménez	award	Nobel Prize in Literature
Ghostbusters II	starring	Rick Moranis
The Aristocats	starring	Eva Gabor
Sebastian Koch	spouse	Carice van Houten
Gao Xingjian	award	Nobel Prize in Literature
Camp Rock	starring	Joe Jonas
Venus Williams	birthPlace	Lynwood, California
John Barnes	author	Orbital Resonance
Charles Glover Barkla	award	Nobel Prize in Physics
John Lucas III	team	Houston Rockets
Saul Williams	spouse	Persia White
Fritz Leiber	author	The Wanderer
Susan Lanier	spouse	Delaney Bramlett
Ian R. MacLeod	author	Voyages by Starlight
Kate Winslet	spouse	Sam Mendes
Shane Battier	team	Houston Rockets
David Gerrold	author	When Harlie Was One
Tyson Chandler	team	Chicago Bulls
Mike Dunleavy, Jr.	team	Indiana Pacers
José María Aznar	office	Spain
Orson Scott Card	author	Shadow of the Hegemon
Shawn Marion	team	Miami Heat
Robert Sheckley	author	Options
Bharrat Jagdeo	office	Guyana
Al Jefferson	team	Utah Jazz
Manuel Azaña	office	Spain
Derek Fisher	team	Golden State Warriors
Kakuei Tanaka	office	Japan
Interwoven	foundationPlace	Sunnyvale
Elton Brand	team	Los Angeles Clippers
Gordon Brown	office	United Kingdom
Charles Mingus	deathPlace	Cuernavaca
P. W. Botha	office	South Africa
Codemasters	foundationPlace	Warwickshire
Georges Pompidou	office	France
Helmi Technologies	foundationPlace	Oulu
John Lee Hooker	deathPlace	Los Altos, California
Olivia Newton-John	birthPlace	Cambridge
Condusiv Technologies	foundationPlace	Glendale
Rutherford B. Hayes	deathPlace	Fremont, Ohio
Heinrich Gustav Reichenbach	deathPlace	Hamburg
Cole Porter	birthPlace	Peru, Indiana
Financial Navigator	foundationPlace	Mountain View
Humphrey Bogart	deathPlace	Los Angeles
MailChannels	foundationPlace	Vancouver
GlaxoSmithKline	subsidiary	Corixa
Miles Davis	deathPlace	Santa Monica, California
The Right Stuff (film)	starring	Scott Glenn
Robert De Niro	birthPlace	New York City
Anatole France	award	Nobel Prize in Literature
Louis IX of France	deathPlace	Tunis
Woody Allen	birthPlace	The Bronx
Harry Martinson	award	Nobel Prize in Literature
Andrew Johnson	deathPlace	Elizabethton, Tennessee
High School Musical 2	starring	Vanessa Hudgens
Tony Blair	birthPlace	Edinburgh
Gabriel Lippmann	award	Nobel Prize in Physics
CA Inc.	subsidiary	Interlink Computer Sciences
Yoko Ono	birthPlace	Tokyo
Marc Anthony	spouse	Jennifer Lopez
André Gide	award	Nobel Prize in Literature
The Right Stuff (film)	starring	Barbara Hershey
Robert Rodriguez	spouse	Rose McGowan
Sinclair Lewis	award	Nobel Prize in Literature
A Hard Day's Night (film)	starring	Paul McCartney
Edward Bulwer-Lytton, 1st Baron Lytton	author	Vril
George Minot	award	Nobel Prize in Physiology or Medicine
Love Actually	starring	Hugh Grant
Jay-Z	birthPlace	New York City
Yevgeny Zamyatin	author	We
Jimmy Carter	award	Nobel Peace Prize
Jeffrey Dean Morgan	spouse	Mary-Louise Parker
J. M. Coetzee	award	Nobel Prize in Literature
Neal Stephenson	author	The Big U
Ashton Kutcher	spouse	Demi Moore
Philip K. Dick	author	Do Androids Dream of Electric Sheep?
Mad Max	starring	Hugh Keays-Byrne
Michael Swanwick	author	Jack Faust
Robert Silverberg	author	A Time of Changes
J. R. Smith	team	New Orleans Hornets
Roger Zelazny	author	Lord of Light
Steve Blake	team	Portland Trail Blazers
Harlan Ellison	author	Again, Dangerous Visions
Ben Gordon	team	Chicago Bulls
Gerald Green	team	Houston Rockets
Wilfried Martens	office	Belgium
Roger MacBride Allen	author	The War Machine
Nazr Mohammed	team	New York Knicks
Aimo Cajander	office	Finland
Gerald Wallace	team	Charlotte Bobcats
Barend Biesheuvel	office	Netherlands
Harold Wilson	office	United Kingdom
Andrei Kirilenko	team	Utah Jazz
Navigon	foundationPlace	Hamburg
Stjepan Mesić	office	Croatia
Critical Path, Inc.	foundationPlace	San Francisco
Tsutomu Hata	office	Japan
Acronis	foundationPlace	United States of America
Jan Peter Balkenende	office	Netherlands
Wilfrid Laurier	office	Canada
Corazon Aquino	deathPlace	Makati
Materialise NV	foundationPlace	Leuven
Chet Atkins	deathPlace	Nashville, Tennessee
Chiang Kai-shek	birthPlace	Fenghua
Hewlett-Packard	foundationPlace	Palo Alto, California
Robert F. Kennedy	deathPlace	Los Angeles
SCO Group	foundationPlace	Santa Cruz
Edward Scissorhands	starring	Alan Arkin
Michael Chang	birthPlace	Hoboken, New Jersey
Herman Melville	deathPlace	New York City
Mean Girls	starring	Tina Fey
Mark Woodforde	birthPlace	Adelaide
Hal Roach	deathPlace	Los Angeles
Mary J. Blige	birthPlace	The Bronx
Janet Jackson	birthPlace	Gary, Indiana
Walther Bothe	award	Nobel Prize in Physics
Hewlett-Packard	subsidiary	Snapfish
Herbert Hoover	deathPlace	New York City
Bob Dylan	birthPlace	Duluth, Minnesota
Clerks	starring	Kevin Smith
Beck	birthPlace	Los Angeles
Alexandre Pato	spouse	Sthefany Brito
Wisława Szymborska	award	Nobel Prize in Literature
Last Action Hero	starring	Bridgette Wilson
The Aristocats	starring	Sterling Holloway
H. P. Lovecraft	birthPlace	Providence, Rhode Island
Diether Ocampo	spouse	Kristine Hermosa
John Steinbeck	award	Nobel Prize in Literature
2012 (film)	starring	Amanda Peet
Neil Young	birthPlace	Toronto
